Data collected on 04/27/2007 04:18:06 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+5.180000E-04,+3.000000E+00,+5.180000E-04,+1.875000E-01
+5.200000E-04,+3.031250E+00,+5.200000E-04,+1.250000E-01
+5.220000E-04,+3.031250E+00,+5.220000E-04,+1.250000E-01
+5.240000E-04,-6.250000E-02,+5.240000E-04,+3.250000E+00
+5.260000E-04,+2.500000E+00,+5.260000E-04,+2.625000E+00
+5.280000E-04,+2.937500E+00,+5.280000E-04,+2.187500E+00
+5.300000E-04,+3.000000E+00,+5.300000E-04,+1.562500E+00
+5.320000E-04,+3.000000E+00,+5.320000E-04,+9.375000E-01
+5.340000E-04,+3.000000E+00,+5.340000E-04,+6.875000E-01
+5.360000E-04,+3.000000E+00,+5.360000E-04,+3.625000E+00
+5.380000E-04,+1.375000E+00,+5.380000E-04,+2.500000E-01
+5.400000E-04,+2.875000E+00,+5.400000E-04,+1.875000E-01
+5.420000E-04,+3.000000E+00,+5.420000E-04,+1.875000E-01
+5.440000E-04,+3.000000E+00,+5.440000E-04,+1.875000E-01
+5.460000E-04,+3.031250E+00,+5.460000E-04,+1.875000E-01
+5.480000E-04,+3.031250E+00,+5.480000E-04,+1.875000E-01
+5.500000E-04,-6.250000E-02,+5.500000E-04,+2.500000E-01
+5.520000E-04,+2.812500E+00,+5.520000E-04,+2.500000E-01
+5.540000E-04,+2.968750E+00,+5.540000E-04,+1.875000E-01
+5.560000E-04,+3.000000E+00,+5.560000E-04,+1.875000E-01
+5.580000E-04,+3.031250E+00,+5.580000E-04,+1.875000E-01
+5.600000E-04,+3.031250E+00,+5.600000E-04,+1.250000E-01
+5.620000E-04,-3.125000E-02,+5.620000E-04,+3.250000E+00
+5.640000E-04,+2.218750E+00,+5.640000E-04,+2.625000E+00
+5.660000E-04,+2.937500E+00,+5.660000E-04,+2.000000E+00
+5.680000E-04,+3.000000E+00,+5.680000E-04,+1.562500E+00
+5.700000E-04,+3.000000E+00,+5.700000E-04,+1.125000E+00
+5.720000E-04,+3.031250E+00,+5.720000E-04,+6.250000E-01
+5.740000E-04,+3.000000E+00,+5.740000E-04,+5.000000E-01
+5.760000E-04,+6.250000E-01,+5.760000E-04,+1.875000E-01
