Data collected on 04/27/2007 04:25:32 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+2.395000E-05,+3.000000E+00,+2.400000E-05,+1.250000E-01
+2.405000E-05,+3.031250E+00,+2.410000E-05,+1.875000E-01
+2.415000E-05,+3.000000E+00,+2.420000E-05,+1.250000E-01
+2.425000E-05,+3.000000E+00,+2.430000E-05,+1.250000E-01
+2.435000E-05,+3.000000E+00,+2.440000E-05,+1.250000E-01
+2.445000E-05,+3.031250E+00,+2.450000E-05,+1.875000E-01
+2.455000E-05,+3.031250E+00,+2.460000E-05,+1.875000E-01
+2.465000E-05,+3.000000E+00,+2.470000E-05,+1.250000E-01
+2.475000E-05,+3.000000E+00,+2.480000E-05,+1.875000E-01
+2.485000E-05,+3.000000E+00,+2.490000E-05,+6.250000E-02
+2.495000E-05,+3.000000E+00,+2.500000E-05,+6.250000E-02
+2.505000E-05,+3.000000E+00,+2.510000E-05,+1.250000E-01
+2.515000E-05,+2.968750E+00,+2.520000E-05,+1.250000E-01
+2.525000E-05,+3.031250E+00,+2.530000E-05,+1.875000E-01
+2.535000E-05,+3.000000E+00,+2.540000E-05,+1.875000E-01
+2.545000E-05,+3.000000E+00,+2.550000E-05,+1.250000E-01
+2.555000E-05,+3.000000E+00,+2.560000E-05,+1.250000E-01
+2.565000E-05,+3.031250E+00,+2.570000E-05,+1.250000E-01
+2.575000E-05,+3.031250E+00,+2.580000E-05,+1.250000E-01
+2.585000E-05,+3.000000E+00,+2.590000E-05,+6.250000E-02
+2.595000E-05,+3.000000E+00,+2.600000E-05,+1.250000E-01
+2.605000E-05,+3.031250E+00,+2.610000E-05,+1.250000E-01
+2.615000E-05,+3.000000E+00,+2.620000E-05,+1.250000E-01
+2.625000E-05,+3.031250E+00,+2.630000E-05,+1.250000E-01
+2.635000E-05,+3.031250E+00,+2.640000E-05,+1.250000E-01
+2.645000E-05,+3.031250E+00,+2.650000E-05,+1.875000E-01
